年份,省份,区域,改进时间衰减法,传统CRITIC熵权法,单纯熵权法
2020,广东,东部,0.4362121425995623,0.432727396677675,0.4115153802828643
2020,广西,西部,0.2305977320598063,0.22293251683412824,0.13960836628578346
2020,新疆,西部,0.24985196189206346,0.23937060029994262,0.14015105051109408
2020,江苏,东部,0.3272589537996182,0.3207578608652244,0.26703304760536584
2020,江西,中部,0.23798826628207706,0.23208895698741844,0.15859476203702672
2020,河北,东部,0.20421747224989337,0.1989135697363765,0.13984143871399632
2020,河南,中部,0.20497170546011548,0.2011337868759434,0.15379588141060258
2020,浙江,东部,0.2932666046931197,0.28793769969197924,0.23320634938722518
2020,海南,东部,0.19828800400562685,0.19253327699365877,0.12260233634101958
2020,湖北,中部,0.22107980376522254,0.2155915678578539,0.15835166468501827
2020,湖南,中部,0.23187753788533622,0.2257186473336137,0.16033830377286484
2020,甘肃,西部,0.18481335475390154,0.1773003216501745,0.10182896825432063
2020,福建,东部,0.24355839471499757,0.23785710398735385,0.17030036048670938
2020,贵州,西部,0.2240432213051913,0.2155563980882034,0.1315014918236157
2020,辽宁,东北,0.25663155177729446,0.25002957877117304,0.17464355540040188
2020,重庆,西部,0.2320506065847951,0.22749335913701282,0.16576905433577097
2020,陕西,西部,0.19139185890663116,0.1862275816051666,0.12752811946768985
2020,青海,西部,0.23264779731723537,0.22533110884787083,0.13623595165089086
2020,黑龙江,东北,0.23879008667636864,0.23051818302033397,0.14309069265721353
2021,上海,东部,0.4118818172655946,0.4117681607426076,0.4002795526368438
2021,云南,西部,0.23702932894726103,0.22751006204607854,0.14116925029181854
2021,内蒙古,西部,0.2516317189554107,0.2416224182268416,0.14654106500613148
2021,北京,东部,0.3722772326643734,0.37124841975891587,0.34374613313755564
2021,吉林,东北,0.21036625876982556,0.20467160448519978,0.13573760542831836
2021,四川,西部,0.2761616292375184,0.2658694414233883,0.18176399870432125
2021,天津,东部,0.2416180459035452,0.23901852092285739,0.19640766088634157
2021,宁夏,西部,0.20928954187201615,0.20444795902053736,0.13268710722057964
2021,安徽,中部,0.24527649909978988,0.23972021345306696,0.18019543347502887
2021,山东,东部,0.2816704626182487,0.2757300580633245,0.2225304809972828
2021,山西,中部,0.23331410408102665,0.22891994227690549,0.1673923400498378
2021,广东,东部,0.4667147134891404,0.46347732589214263,0.4541216593414744
2021,广西,西部,0.23338060311227105,0.2258966136376726,0.14537292958543557
2021,新疆,西部,0.24776935726432306,0.23744771924490038,0.14181684783644713
2021,江苏,东部,0.3407482944655743,0.33462917355806354,0.2880914453658538
2021,江西,中部,0.23437612653002027,0.2276881505666009,0.15500043325211116
2021,河北,东部,0.20071589536236525,0.1952518520303853,0.13962569289576449
2021,河南,中部,0.20341239475589806,0.19950332649812313,0.1559911822896996
2021,浙江,东部,0.3095781064827388,0.304665246050135,0.2571460300300073
2021,海南,东部,0.2029304974321991,0.19710566977141059,0.12818430591299457
2021,湖北,中部,0.2294598668963758,0.2235932838289295,0.16924701028875216
2021,湖南,中部,0.2326280841187513,0.22555383300139056,0.16087515054614004
2021,甘肃,西部,0.18649374151582776,0.17907740804031416,0.10567842068071448
2021,福建,东部,0.25533714651772116,0.2501820712847749,0.18740477418613857
2021,贵州,西部,0.2243554052532229,0.21596593483595722,0.13545408000258055
2021,辽宁,东北,0.2541337997626645,0.24734528358597896,0.17364929987011088
2021,重庆,西部,0.23082587182459322,0.22631881931189732,0.16932311319349122
2021,陕西,西部,0.19504410611887557,0.19001139939107373,0.13494023642988862
2021,青海,西部,0.23415454712971934,0.22696637027432015,0.14066134025029844
2021,黑龙江,东北,0.23578680659497758,0.22740782602665238,0.14226465403970934
2022,上海,东部,0.4253524970350667,0.42529101192678664,0.4240106824651141
2022,云南,西部,0.24544685988172632,0.23609087623488037,0.15059728670515088
2022,内蒙古,西部,0.24838100420072415,0.23814999157325667,0.14335755209990012
2022,北京,东部,0.3776849276676834,0.37638368238832165,0.3562072931235691
2022,吉林,东北,0.2115639624563191,0.20560728298233721,0.13588570464809474
2022,四川,西部,0.28386595100192635,0.2738632266681119,0.19413935580818648
2022,天津,东部,0.25157623461881445,0.24895136141156454,0.20738606522175773
2022,宁夏,西部,0.21411335811776114,0.2091818304604638,0.13713015292205347
2022,安徽,中部,0.24898090685092114,0.2431108269680669,0.18545378904989346
2022,山东,东部,0.2861022580965248,0.27978578378596064,0.22883506833194564
2022,山西,中部,0.2175827253410891,0.21250814230243528,0.15136057955466342
2022,广东,东部,0.4977394936620153,0.49526072154109435,0.5021099388320587
2022,广西,西部,0.22957091622226175,0.2219052181397538,0.14339931655182053
2022,新疆,西部,0.26029361245555876,0.2492417311205004,0.14846508801029118
2022,江苏,东部,0.360203259714576,0.3543200393180164,0.3151398800808705
2022,江西,中部,0.23399356140981725,0.22712458164471622,0.15659379874106605
2022,河北,东部,0.2129358928633451,0.20745489422780827,0.15165958141693064
2022,河南,中部,0.2098406580746088,0.20611659464838977,0.1673825365084277
2022,浙江,东部,0.3199954259456753,0.31521476547648386,0.27649279864170373
2022,海南,东部,0.20799890282032094,0.2021344667965057,0.1337058200135598
2022,湖北,中部,0.2441800416083635,0.23788195389670763,0.18416020143309475
2022,湖南,中部,0.23762120128564646,0.23061352042704886,0.1684908872589418
2022,甘肃,西部,0.18802127255224452,0.18047839852968092,0.10705038109478013
2022,福建,东部,0.2601812143714569,0.2546978090792991,0.19391228032274938
2022,贵州,西部,0.23214135715419038,0.22382087715186663,0.14412039324725992
2022,辽宁,东北,0.254436187432564,0.2473945104149273,0.17326156249808555
2022,重庆,西部,0.23940202559109133,0.234804205720947,0.1800283683208098
2022,陕西,西部,0.21054199270574747,0.2054790632378567,0.14977363982574382
2022,青海,西部,0.23240073445755766,0.2251023526982349,0.13925112050901473
2022,黑龙江,东北,0.23651406478709472,0.22805587616576573,0.14377365046055907
2023,上海,东部,0.4944788276917281,0.4961830852998362,0.5081954229550112
2023,云南,西部,0.2505510624815874,0.24118962861980636,0.15841866648556288
2023,内蒙古,西部,0.25857670352854734,0.24853353601791023,0.15446758001551647
2023,北京,东部,0.4296785826743066,0.4292880085885738,0.41794346950750694
2023,吉林,东北,0.22462677410466075,0.2187602000271798,0.14899044711074957
2023,四川,西部,0.3058759513088083,0.29598645342575297,0.218826804371564
2023,天津,东部,0.2600562403519889,0.257671695241222,0.2201609236308208
2023,宁夏,西部,0.21547179777415376,0.2106725836112177,0.1407687148800892
2023,安徽,中部,0.26738877471749617,0.26166610486921693,0.2087640397506455
2023,山东,东部,0.29862576900624804,0.29254401716528333,0.2469251257482373
2023,山西,中部,0.25634521335684696,0.2519340716365478,0.18874416765371188
2023,广东,东部,0.5598685385561661,0.5590738259491104,0.5921183368901048
