年份,省份,区域,双系统综合发展指数_改进模型,全国排名_改进模型,双系统综合发展指数_传统模型,全国排名_传统模型,指数差值_改进减传统,排名差值_改进减传统
2022,河北,东部,0.20745489422780825,25.0,0.20745489422780827,25.0,-2.7755575615628914e-17,0.0
2022,河南,中部,0.2061165946483898,26.0,0.20611659464838977,26.0,2.7755575615628914e-17,0.0
2022,吉林,东北,0.20560728298233721,27.0,0.20560728298233721,27.0,0.0,0.0
2022,陕西,西部,0.20547906323785675,28.0,0.2054790632378567,28.0,5.551115123125783e-17,0.0
2022,海南,东部,0.2021344667965057,29.0,0.2021344667965057,29.0,0.0,0.0
2022,甘肃,西部,0.18047839852968095,30.0,0.18047839852968092,30.0,2.7755575615628914e-17,0.0
2023,广东,东部,0.5590738259491104,1.0,0.5590738259491104,1.0,0.0,0.0
2023,上海,东部,0.4961830852998362,2.0,0.4961830852998362,2.0,0.0,0.0
2023,北京,东部,0.4292880085885738,3.0,0.4292880085885738,3.0,0.0,0.0
2023,江苏,东部,0.38701616135481276,4.0,0.38701616135481276,4.0,0.0,0.0
2023,浙江,东部,0.3453735956834786,5.0,0.3453735956834786,5.0,0.0,0.0
2023,四川,西部,0.295986453425753,6.0,0.29598645342575297,6.0,5.551115123125783e-17,0.0
2023,山东,东部,0.29254401716528333,7.0,0.29254401716528333,7.0,0.0,0.0
2023,福建,东部,0.267976347755585,8.0,0.2679763477555849,8.0,1.1102230246251565e-16,0.0
2023,辽宁,东北,0.2618041063720342,9.0,0.2618041063720341,9.0,1.1102230246251565e-16,0.0
2023,安徽,中部,0.261666104869217,10.0,0.26166610486921693,10.0,5.551115123125783e-17,0.0
2023,新疆,西部,0.25972546017416415,11.0,0.2597254601741641,11.0,5.551115123125783e-17,0.0
2023,湖北,中部,0.2596977808540424,12.0,0.2596977808540424,12.0,0.0,0.0
2023,天津,东部,0.2576716952412221,13.0,0.257671695241222,13.0,5.551115123125783e-17,0.0
2023,重庆,西部,0.25230336892040484,14.0,0.2523033689204048,14.0,5.551115123125783e-17,0.0
2023,湖南,中部,0.2520007944792304,15.0,0.2520007944792304,15.0,0.0,0.0
2023,山西,中部,0.2519340716365478,16.0,0.2519340716365478,16.0,0.0,0.0
